"","Practice.Code","Volume","Cost","ID","Cluster"
"260","A82025",1160388,130953.7504,260,1
"261","A82026",2060678,206167.37564,261,1
"262","A82027",1703446,150356.93011,262,1
"263","A82028",680647,78930.5689,263,1
"264","A82029",328355,37574.76762,264,1
"265","A82030",810329,93441.81208,265,1
"266","A82031",428907,44368.24014,266,1
"267","A82032",2168924,214500.89194,267,1
"268","A82033",1474961,146740.32463,268,1
"269","A82034",1109792,104736.85219,269,1
"270","A82035",1877760,210825.36614,270,1
"271","A82036",1232746,131942.71828,271,1
"272","A82037",639002,74200.57345,272,1
"273","A82038",394636,61637.94753,273,1
"274","A82039",1104982,111722.65928,274,1
"275","A82040",564199,53595.84355,275,1
"276","A82041",1668201,160761.20248,276,1
"277","A82044",3861682,346357.57175,277,1
"278","A82045",1007122,115478.60357,278,1
"279","A82046",566088,67104.16287,279,1
"280","A82047",1736349,168536.85115,280,1
"281","A82048",1019206,108407.64061,281,1
"282","A82049",922857,81240.96484,282,1
"283","A82050",1154095,124062.34695,283,1
"284","A82052",928143,96738.83313,284,1
"285","A82053",887993,87458.70778,285,1
"286","A82055",1018229,123397.94915,286,1
"287","A82057",912133,103696.77161,287,1
"288","A82058",654834,63643.90373,288,1
"289","A82060",281743,27954.13411,289,1
"290","A82062",835245,67323.91217,290,1
"291","A82063",159275,21715.48285,291,1
"292","A82064",826023,72393.33047,292,1
"293","A82065",486428,52144.28042,293,1
"294","A82068",582884,61777.5262,294,1
"295","A82070",750497,73918.2605,295,1
"296","A82071",737517,61049.18488,296,1
"297","A82072",753996,68951.79634,297,1
"298","A82074",354729,44083.74801,298,1
"299","A82075",885298,81064.66244,299,1
"300","A82077",892170,86418.58577,300,1
"301","A82608",473026,46954.80418,301,1
"302","A82613",87930,8904.88029,302,1
"303","A82617",254297,29657.4393,303,1
"304","A82619",246968,22617.82178,304,1
"305","A82620",55788,5699.40371,305,1
"306","A82621",304638,23289.6938,306,1
"307","A82623",832240,89499.75749,307,1
"308","A82629",435902,47454.96636,308,1
"309","A82631",404466,41700.80758,309,1
"310","A82635",212365,29618.26258,310,1
"311","A82641",297458,28612.35646,311,1
"312","A82642",118108,14301.075,312,1
"313","A82646",602147,68253.5671,313,1
"314","A82647",361746,41550.22279,314,1
"315","A82650",330501,41027.30206,315,1
"316","A82651",363090,51519.89191,316,1
"317","A82654",501829,54651.96336,317,1
"318","A83001",1416557,144844.95138,318,1
"319","A83003",1771800,162675.32699,319,1
"320","A83004",530845,49388.88793,320,1
